Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
"7(1,G1)",Standard3,54,184,459,1186,,,,,,,,,,,
"8(1,H1)",Standard3,57,191.5,448.5,1256,,,,,,,,,,,
"9(1,A2)",Standard4,140,461,1738,917,,,,,,,,,,,
"10(1,B2)",Standard4,144,439.5,2012,888,,,,,,,,,,,
"11(1,C2)",Standard5,618,1638.5,5899,1014,,,,,,,,,,,
"12(1,D2)",Standard5,591.5,1174,5122.5,769,,,,,,,,,,,
"13(1,E2)",Standard6,3267.5,2782.5,8624,483,,,,,,,,,,,
"14(1,F2)",Standard6,3552.5,3910.5,9451,734,,,,,,,,,,,
"15(1,G2)",Standard7,14162.5,7959,10370.5,1019,,,,,,,,,,,
"16(1,H2)",Standard7,8609,5241,9947.5,1109,,,,,,,,,,,
"17(1,A3)",Control1,215,716,2489.5,1240,,,,,,,,,,,
"18(1,B3)",Control1,200,680,2371.5,918,,,,,,,,,,,
"19(1,C3)",Control2,1325,2818,8207,912,,,,,,,,,,,
"20(1,D3)",Control2,1370,2862,7837,929,,,,,,,,,,,
"21(1,E3)",Normoxia Blank 1,27,334.5,21.5,505,,,,,,,,,,,
"22(1,F3)",Normoxia Blank 1,25,310,20,740,,,,,,,,,,,
"23(1,G3)",Normoxia Blank 1,26,289.5,27,958,,,,,,,,,,,
"24(1,H3)",Normoxia Blank 2,27,286,23,983,,,,,,,,,,,
"25(1,A4)",Normoxia Blank 2,27.5,351,25,1062,,,,,,,,,,,
"26(1,B4)",Normoxia Blank 2,27,295,21,828,,,,,,,,,,,
"27(1,C4)",Normoxia Blank 3,24,299,21,819,,,,,,,,,,,
"28(1,D4)",Normoxia Blank 3,27,330,23,675,,,,,,,,,,,
"29(1,E4)",Normoxia Blank 3,29,349,23,801,,,,,,,,,,,
"30(1,F4)",Normoxia DEP 1,31,446,31,683,,,,,,,,,,,
"31(1,G4)",Normoxia DEP 1,28.5,398,27,755,,,,,,,,,,,
"32(1,H4)",Normoxia DEP 1,29,424,35,748,,,,,,,,,,,
"33(1,A5)",Normoxia DEP 2,29,485,31,730,,,,,,,,,,,
"34(1,B5)",Normoxia DEP 2,30,473,33.5,481,,,,,,,,,,,
"35(1,C5)",Normoxia DEP 2,26,415.5,30,632,,,,,,,,,,,
"36(1,D5)",Normoxia DEP 3,28,413,28.5,791,,,,,,,,,,,
"37(1,E5)",Normoxia DEP 3,30,458,36.5,390,,,,,,,,,,,
"38(1,F5)",Normoxia DEP 3,31,465.5,35,551,,,,,,,,,,,
"39(1,G5)",Normoxia Ox66 1,27,411,23,617,,,,,,,,,,,
"40(1,H5)",Normoxia Ox66 1,28,479,25,843,,,,,,,,,,,
"41(1,A6)",Normoxia Ox66 1,25,396.5,25,959,,,,,,,,,,,
"42(1,B6)",Normoxia Ox66 2,26,433,28,511,,,,,,,,,,,
"43(1,C6)",Normoxia Ox66 2,27,475.5,23,570,,,,,,,,,,,
"44(1,D6)",Normoxia Ox66 2,25,476,22,607,,,,,,,,,,,
"45(1,E6)",Normoxia Ox66 3,23.5,334.5,20,517,,,,,,,,,,,
"46(1,F6)",Normoxia Ox66 3,24,386,22,593,,,,,,,,,,,
"47(1,G6)",Normoxia Ox66 3,27,373,24,539,,,,,,,,,,,
"48(1,H6)",Normoxia Mix 1,25,476.5,26,861,,,,,,,,,,,
"49(1,A7)",Normoxia Mix 1,29,540.5,28,727,,,,,,,,,,,
"50(1,B7)",Normoxia Mix 1,29,532,28,555,,,,,,,,,,,
"51(1,C7)",Normoxia Mix 2,28,540.5,31,515,,,,,,,,,,,
"52(1,D7)",Normoxia Mix 2,27,577.5,27,414,,,,,,,,,,,
"53(1,E7)",Normoxia Mix 2,26,540,27,390,,,,,,,,,,,
"54(1,F7)",Normoxia Mix 3,28,566.5,30,547,,,,,,,,,,,
"55(1,G7)",Normoxia Mix 3,27,431,28,675,,,,,,,,,,,
"56(1,H7)",Normoxia Mix 3,28,536.5,28.5,660,,,,,,,,,,,
"57(1,A8)",Hypoxia Blank 1,25,187,25,724,,,,,,,,,,,
"58(1,B8)",Hypoxia Blank 1,52,243,55,448,,,,,,,,,,,
"59(1,C8)",Hypoxia Blank 1,29,209,34,423,,,,,,,,,,,
"60(1,D8)",Hypoxia Blank 2,26,236.5,26,514,,,,,,,,,,,
"61(1,E8)",Hypoxia Blank 2,28,233.5,25.5,412,,,,,,,,,,,
"62(1,F8)",Hypoxia Blank 2,28,274,25,390,,,,,,,,,,,
"63(1,G8)",Hypoxia Blank 3,27,234,26,477,,,,,,,,,,,
"64(1,H8)",Hypoxia Blank 3,27,191,31,620,,,,,,,,,,,
"65(1,A9)",Hypoxia Blank 3,27,230,27.5,781,,,,,,,,,,,
"66(1,B9)",Hypoxia DEP 1,26,214,30,769,,,,,,,,,,,
"67(1,C9)",Hypoxia DEP 1,24,265,30,703,,,,,,,,,,,
"68(1,D9)",Hypoxia DEP 1,24,218.5,27,803,,,,,,,,,,,
"69(1,E9)",Hypoxia DEP 2,27,314,42,657,,,,,,,,,,,
"70(1,F9)",Hypoxia DEP 2,30,331,38,641,,,,,,,,,,,
"71(1,G9)",Hypoxia DEP 2,25,275,29,705,,,,,,,,,,,
"72(1,H9)",Hypoxia DEP 3,29,276,44,592,,,,,,,,,,,
"73(1,A10)",Hypoxia DEP 3,27,317,33,779,,,,,,,,,,,
"74(1,B10)",Hypoxia DEP 3,27,292.5,31,716,,,,,,,,,,,
"75(1,C10)",Hypoxia Ox66 1,29,263,26,555,,,,,,,,,,,
"76(1,D10)",Hypoxia Ox66 1,26,187,32,496,,,,,,,,,,,
"77(1,E10)",Hypoxia Ox66 1,25,255,27,449,,,,,,,,,,,
"78(1,F10)",Hypoxia Ox66 2,26,236,26,749,,,,,,,,,,,
"79(1,G10)",Hypoxia Ox66 2,25,217,28,667,,,,,,,,,,,
"80(1,H10)",Hypoxia Ox66 2,25,258,29,621,,,,,,,,,,,
"81(1,A11)",Hypoxia Ox66 3,24,253,24,644,,,,,,,,,,,
"82(1,B11)",Hypoxia Ox66 3,26,233.5,28,565,,,,,,,,,,,
"83(1,C11)",Hypoxia Ox66 3,25,236.5,25,589,,,,,,,,,,,
"84(1,D11)",Hypoxia Mix 1,25,284.5,27,702,,,,,,,,,,,
"85(1,E11)",Hypoxia Mix 1,28,359,30.5,718,,,,,,,,,,,
"86(1,F11)",Hypoxia Mix 1,26,324,29,620,,,,,,,,,,,
"87(1,G11)",Hypoxia Mix 2,27,347,34,688,,,,,,,,,,,
"88(1,H11)",Hypoxia Mix 2,27,337,44,650,,,,,,,,,,,
"89(1,A12)",Hypoxia Mix 2,27,335,30,876,,,,,,,,,,,
"90(1,B12)",Hypoxia Mix 3,28,303,37,576,,,,,,,,,,,
"91(1,C12)",Hypoxia Mix 3,30,388,30.5,516,,,,,,,,,,,
"92(1,D12)",Hypoxia Mix 3,28,314.5,27,780,,,,,,,,,,,
"93(1,E12)",DEP Intereference,30,182,27,928,,,,,,,,,,,
"94(1,F12)",DEP Intereference,28,160,27,997,,,,,,,,,,,
"95(1,G12)",Ox66 Intereference,25,108,23,1164,,,,,,,,,,,
"96(1,H12)",Ox66 Intereference,28,159.5,26,1122,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Net MFI,,,,,,,,,,,,,,,
Location,Sample,IL-6,GRO/KC/CINC-1,TNFa,Total Events,,,,,,,,,,,
"1(1,A1)",Background0,0,19,1,1109,,,,,,,,,,,
"2(1,B1)",Background0,0,-19,-1,1099,,,,,,,,,,,
"3(1,C1)",Standard1,1,0.5,24,966,,,,,,,,,,,
"4(1,D1)",Standard1,4,9.5,31,1029,,,,,,,,,,,
"5(1,E1)",Standard2,6,16.5,100,1046,,,,,,,,,,,
"6(1,F1)",Standard2,6,-7.5,109,1178,,,,,,,,,,,
"7(1,G1)",Standard3,27,59.5,435,1186,,,,,,,,,,,
"8(1,H1)",Standard3,30,67,424.5,1256,,,,,,,,,,,
"9(1,A2)",Standard4,113,336.5,1714,917,,,,,,,,,,,
"10(1,B2)",Standard4,117,315,1988,888,,,,,,,,,,,
"11(1,C2)",Standard5,591,1514,5875,1014,,,,,,,,,,,
"12(1,D2)",Standard5,564.5,1049.5,5098.5,769,,,,,,,,,,,
"13(1,E2)",Standard6,3240.5,2658,8600,483,,,,,,,,,,,
"14(1,F2)",Standard6,3525.5,3786,9427,734,,,,,,,,,,,
"15(1,G2)",Standard7,14135.5,7834.5,10346.5,1019,,,,,,,,,,,
"16(1,H2)",Standard7,8582,5116.5,9923.5,1109,,,,,,,,,,,
"17(1,A3)",Control1,188,591.5,2465.5,1240,,,,,,,,,,,
"18(1,B3)",Control1,173,555.5,2347.5,918,,,,,,,,,,,
"19(1,C3)",Control2,1298,2693.5,8183,912,,,,,,,,,,,
"20(1,D3)",Control2,1343,2737.5,7813,929,,,,,,,,,,,
"21(1,E3)",Normoxia Blank 1,0,210,-2.5,505,,,,,,,,,,,
"22(1,F3)",Normoxia Blank 1,-2,185.5,-4,740,,,,,,,,,,,
"23(1,G3)",Normoxia Blank 1,-1,165,3,958,,,,,,,,,,,
"24(1,H3)",Normoxia Blank 2,0,161.5,-1,983,,,,,,,,,,,
"25(1,A4)",Normoxia Blank 2,0.5,226.5,1,1062,,,,,,,,,,,
"26(1,B4)",Normoxia Blank 2,0,170.5,-3,828,,,,,,,,,,,
"27(1,C4)",Normoxia Blank 3,-3,174.5,-3,819,,,,,,,,,,,
"28(1,D4)",Normoxia Blank 3,0,205.5,-1,675,,,,,,,,,,,
"29(1,E4)",Normoxia Blank 3,2,224.5,-1,801,,,,,,,,,,,
"30(1,F4)",Normoxia DEP 1,4,321.5,7,683,,,,,,,,,,,
"31(1,G4)",Normoxia DEP 1,1.5,273.5,3,755,,,,,,,,,,,
"32(1,H4)",Normoxia DEP 1,2,299.5,11,748,,,,,,,,,,,
"33(1,A5)",Normoxia DEP 2,2,360.5,7,730,,,,,,,,,,,
"34(1,B5)",Normoxia DEP 2,3,348.5,9.5,481,,,,,,,,,,,
"35(1,C5)",Normoxia DEP 2,-1,291,6,632,,,,,,,,,,,
"36(1,D5)",Normoxia DEP 3,1,288.5,4.5,791,,,,,,,,,,,
"37(1,E5)",Normoxia DEP 3,3,333.5,12.5,390,,,,,,,,,,,
"38(1,F5)",Normoxia DEP 3,4,341,11,551,,,,,,,,,,,
"39(1,G5)",Normoxia Ox66 1,0,286.5,-1,617,,,,,,,,,,,
"40(1,H5)",Normoxia Ox66 1,1,354.5,1,843,,,,,,,,,,,
"41(1,A6)",Normoxia Ox66 1,-2,272,1,959,,,,,,,,,,,
"42(1,B6)",Normoxia Ox66 2,-1,308.5,4,511,,,,,,,,,,,
"43(1,C6)",Normoxia Ox66 2,0,351,-1,570,,,,,,,,,,,
"44(1,D6)",Normoxia Ox66 2,-2,351.5,-2,607,,,,,,,,,,,
"45(1,E6)",Normoxia Ox66 3,-3.5,210,-4,517,,,,,,,,,,,
"46(1,F6)",Normoxia Ox66 3,-3,261.5,-2,593,,,,,,,,,,,
"47(1,G6)",Normoxia Ox66 3,0,248.5,0,539,,,,,,,,,,,
"48(1,H6)",Normoxia Mix 1,-2,352,2,861,,,,,,,,,,,
"49(1,A7)",Normoxia Mix 1,2,416,4,727,,,,,,,,,,,
"50(1,B7)",Normoxia Mix 1,2,407.5,4,555,,,,,,,,,,,
"51(1,C7)",Normoxia Mix 2,1,416,7,515,,,,,,,,,,,
"52(1,D7)",Normoxia Mix 2,0,453,3,414,,,,,,,,,,,
"53(1,E7)",Normoxia Mix 2,-1,415.5,3,390,,,,,,,,,,,
"54(1,F7)",Normoxia Mix 3,1,442,6,547,,,,,,,,,,,
"55(1,G7)",Normoxia Mix 3,0,306.5,4,675,,,,,,,,,,,
"56(1,H7)",Normoxia Mix 3,1,412,4.5,660,,,,,,,,,,,
"57(1,A8)",Hypoxia Blank 1,-2,62.5,1,724,,,,,,,,,,,
"58(1,B8)",Hypoxia Blank 1,25,118.5,31,448,,,,,,,,,,,
"59(1,C8)",Hypoxia Blank 1,2,84.5,10,423,,,,,,,,,,,
"60(1,D8)",Hypoxia Blank 2,-1,112,2,514,,,,,,,,,,,
"61(1,E8)",Hypoxia Blank 2,1,109,1.5,412,,,,,,,,,,,
"62(1,F8)",Hypoxia Blank 2,1,149.5,1,390,,,,,,,,,,,
"63(1,G8)",Hypoxia Blank 3,0,109.5,2,477,,,,,,,,,,,
"64(1,H8)",Hypoxia Blank 3,0,66.5,7,620,,,,,,,,,,,
"65(1,A9)",Hypoxia Blank 3,0,105.5,3.5,781,,,,,,,,,,,
"66(1,B9)",Hypoxia DEP 1,-1,89.5,6,769,,,,,,,,,,,
"67(1,C9)",Hypoxia DEP 1,-3,140.5,6,703,,,,,,,,,,,
"68(1,D9)",Hypoxia DEP 1,-3,94,3,803,,,,,,,,,,,
"69(1,E9)",Hypoxia DEP 2,0,189.5,18,657,,,,,,,,,,,
"70(1,F9)",Hypoxia DEP 2,3,206.5,14,641,,,,,,,,,,,
"71(1,G9)",Hypoxia DEP 2,-2,150.5,5,705,,,,,,,,,,,
"72(1,H9)",Hypoxia DEP 3,2,151.5,20,592,,,,,,,,,,,
"73(1,A10)",Hypoxia DEP 3,0,192.5,9,779,,,,,,,,,,,
"74(1,B10)",Hypoxia DEP 3,0,168,7,716,,,,,,,,,,,
"75(1,C10)",Hypoxia Ox66 1,2,138.5,2,555,,,,,,,,,,,
"76(1,D10)",Hypoxia Ox66 1,-1,62.5,8,496,,,,,,,,,,,
"77(1,E10)",Hypoxia Ox66 1,-2,130.5,3,449,,,,,,,,,,,
"78(1,F10)",Hypoxia Ox66 2,-1,111.5,2,749,,,,,,,,,,,
"79(1,G10)",Hypoxia Ox66 2,-2,92.5,4,667,,,,,,,,,,,
"80(1,H10)",Hypoxia Ox66 2,-2,133.5,5,621,,,,,,,,,,,
"81(1,A11)",Hypoxia Ox66 3,-3,128.5,0,644,,,,,,,,,,,
"82(1,B11)",Hypoxia Ox66 3,-1,109,4,565,,,,,,,,,,,
"83(1,C11)",Hypoxia Ox66 3,-2,112,1,589,,,,,,,,,,,
"84(1,D11)",Hypoxia Mix 1,-2,160,3,702,,,,,,,,,,,
"85(1,E11)",Hypoxia Mix 1,1,234.5,6.5,718,,,,,,,,,,,
"86(1,F11)",Hypoxia Mix 1,-1,199.5,5,620,,,,,,,,,,,
"87(1,G11)",Hypoxia Mix 2,0,222.5,10,688,,,,,,,,,,,
"88(1,H11)",Hypoxia Mix 2,0,212.5,20,650,,,,,,,,,,,
"89(1,A12)",Hypoxia Mix 2,0,210.5,6,876,,,,,,,,,,,
"90(1,B12)",Hypoxia Mix 3,1,178.5,13,576,,,,,,,,,,,
"91(1,C12)",Hypoxia Mix 3,3,263.5,6.5,516,,,,,,,,,,,
"92(1,D12)",Hypoxia Mix 3,1,190,3,780,,,,,,,,,,,
"93(1,E12)",Intereference DEP ,3,57.5,3,928,,,,,,,,,,,
"94(1,F12)",Intereference DEP ,1,35.5,3,997,,,,,,,,,,,
"95(1,G12)",Interference Ox66,-2,-16.5,-1,1164,,,,,,,,,,,
"96(1,H12)",Interference Ox66,1,35,2,1122,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Count,,,,,,,,,,,,,,,
Location,Sample,IL-6,GRO/KC/CINC-1,TNFa,Total Events,,,,,,,,,,,
"1(1,A1)",Background0,387,356,366,1109,,,,,,,,,,,
"2(1,B1)",Background0,362,380,357,1099,,,,,,,,,,,
"3(1,C1)",Standard1,339,292,335,966,,,,,,,,,,,
"4(1,D1)",Standard1,341,327,361,1029,,,,,,,,,,,
"5(1,E1)",Standard2,349,340,357,1046,,,,,,,,,,,
"6(1,F1)",Standard2,416,365,397,1178,,,,,,,,,,,
"7(1,G1)",Standard3,404,366,416,1186,,,,,,,,,,,
"8(1,H1)",Standard3,428,382,446,1256,,,,,,,,,,,
"9(1,A2)",Standard4,302,280,335,917,,,,,,,,,,,
"10(1,B2)",Standard4,303,248,337,888,,,,,,,,,,,
"11(1,C2)",Standard5,383,274,357,1014,,,,,,,,,,,
"12(1,D2)",Standard5,264,195,310,769,,,,,,,,,,,
"13(1,E2)",Standard6,208,82,193,483,,,,,,,,,,,
"14(1,F2)",Standard6,276,162,296,734,,,,,,,,,,,
"15(1,G2)",Standard7,344,345,330,1019,,,,,,,,,,,
"16(1,H2)",Standard7,385,316,408,1109,,,,,,,,,,,
"17(1,A3)",Control1,438,400,402,1240,,,,,,,,,,,
"18(1,B3)",Control1,306,280,332,918,,,,,,,,,,,
"19(1,C3)",Control2,279,289,344,912,,,,,,,,,,,
"20(1,D3)",Control2,317,281,331,929,,,,,,,,,,,
"21(1,E3)",Normoxia Blank 1,185,152,168,505,,,,,,,,,,,
"22(1,F3)",Normoxia Blank 1,233,245,262,740,,,,,,,,,,,
"23(1,G3)",Normoxia Blank 1,311,308,339,958,,,,,,,,,,,
"24(1,H3)",Normoxia Blank 2,345,316,322,983,,,,,,,,,,,
"25(1,A4)",Normoxia Blank 2,358,310,394,1062,,,,,,,,,,,
"26(1,B4)",Normoxia Blank 2,274,270,284,828,,,,,,,,,,,
"27(1,C4)",Normoxia Blank 3,303,242,274,819,,,,,,,,,,,
"28(1,D4)",Normoxia Blank 3,218,236,221,675,,,,,,,,,,,
"29(1,E4)",Normoxia Blank 3,258,245,298,801,,,,,,,,,,,
"30(1,F4)",Normoxia DEP 1,232,214,237,683,,,,,,,,,,,
"31(1,G4)",Normoxia DEP 1,278,213,264,755,,,,,,,,,,,
"32(1,H4)",Normoxia DEP 1,279,230,239,748,,,,,,,,,,,
"33(1,A5)",Normoxia DEP 2,267,219,244,730,,,,,,,,,,,
"34(1,B5)",Normoxia DEP 2,174,161,146,481,,,,,,,,,,,
"35(1,C5)",Normoxia DEP 2,245,200,187,632,,,,,,,,,,,
"36(1,D5)",Normoxia DEP 3,255,258,278,791,,,,,,,,,,,
"37(1,E5)",Normoxia DEP 3,156,96,138,390,,,,,,,,,,,
"38(1,F5)",Normoxia DEP 3,217,172,162,551,,,,,,,,,,,
"39(1,G5)",Normoxia Ox66 1,198,219,200,617,,,,,,,,,,,
"40(1,H5)",Normoxia Ox66 1,296,258,289,843,,,,,,,,,,,
"41(1,A6)",Normoxia Ox66 1,322,306,331,959,,,,,,,,,,,
"42(1,B6)",Normoxia Ox66 2,165,157,189,511,,,,,,,,,,,
"43(1,C6)",Normoxia Ox66 2,189,170,211,570,,,,,,,,,,,
"44(1,D6)",Normoxia Ox66 2,216,193,198,607,,,,,,,,,,,
"45(1,E6)",Normoxia Ox66 3,196,154,167,517,,,,,,,,,,,
"46(1,F6)",Normoxia Ox66 3,221,173,199,593,,,,,,,,,,,
"47(1,G6)",Normoxia Ox66 3,172,166,201,539,,,,,,,,,,,
"48(1,H6)",Normoxia Mix 1,298,246,317,861,,,,,,,,,,,
"49(1,A7)",Normoxia Mix 1,249,226,252,727,,,,,,,,,,,
"50(1,B7)",Normoxia Mix 1,216,157,182,555,,,,,,,,,,,
"51(1,C7)",Normoxia Mix 2,165,168,182,515,,,,,,,,,,,
"52(1,D7)",Normoxia Mix 2,140,128,146,414,,,,,,,,,,,
"53(1,E7)",Normoxia Mix 2,144,125,121,390,,,,,,,,,,,
"54(1,F7)",Normoxia Mix 3,196,168,183,547,,,,,,,,,,,
"55(1,G7)",Normoxia Mix 3,253,195,227,675,,,,,,,,,,,
"56(1,H7)",Normoxia Mix 3,220,198,242,660,,,,,,,,,,,
"57(1,A8)",Hypoxia Blank 1,255,220,249,724,,,,,,,,,,,
"58(1,B8)",Hypoxia Blank 1,164,131,153,448,,,,,,,,,,,
"59(1,C8)",Hypoxia Blank 1,149,131,143,423,,,,,,,,,,,
"60(1,D8)",Hypoxia Blank 2,182,162,170,514,,,,,,,,,,,
"61(1,E8)",Hypoxia Blank 2,152,124,136,412,,,,,,,,,,,
"62(1,F8)",Hypoxia Blank 2,155,116,119,390,,,,,,,,,,,
"63(1,G8)",Hypoxia Blank 3,170,149,158,477,,,,,,,,,,,
"64(1,H8)",Hypoxia Blank 3,241,196,183,620,,,,,,,,,,,
"65(1,A9)",Hypoxia Blank 3,273,228,280,781,,,,,,,,,,,
"66(1,B9)",Hypoxia DEP 1,266,264,239,769,,,,,,,,,,,
"67(1,C9)",Hypoxia DEP 1,262,203,238,703,,,,,,,,,,,
"68(1,D9)",Hypoxia DEP 1,293,234,276,803,,,,,,,,,,,
"69(1,E9)",Hypoxia DEP 2,234,207,216,657,,,,,,,,,,,
"70(1,F9)",Hypoxia DEP 2,224,216,201,641,,,,,,,,,,,
"71(1,G9)",Hypoxia DEP 2,276,211,218,705,,,,,,,,,,,
"72(1,H9)",Hypoxia DEP 3,227,182,183,592,,,,,,,,,,,
"73(1,A10)",Hypoxia DEP 3,286,225,268,779,,,,,,,,,,,
"74(1,B10)",Hypoxia DEP 3,261,242,213,716,,,,,,,,,,,
"75(1,C10)",Hypoxia Ox66 1,198,170,187,555,,,,,,,,,,,
"76(1,D10)",Hypoxia Ox66 1,196,140,160,496,,,,,,,,,,,
"77(1,E10)",Hypoxia Ox66 1,166,152,131,449,,,,,,,,,,,
"78(1,F10)",Hypoxia Ox66 2,248,231,270,749,,,,,,,,,,,
"79(1,G10)",Hypoxia Ox66 2,224,212,231,667,,,,,,,,,,,
"80(1,H10)",Hypoxia Ox66 2,234,191,196,621,,,,,,,,,,,
"81(1,A11)",Hypoxia Ox66 3,228,195,221,644,,,,,,,,,,,
"82(1,B11)",Hypoxia Ox66 3,199,184,182,565,,,,,,,,,,,
"83(1,C11)",Hypoxia Ox66 3,188,190,211,589,,,,,,,,,,,
"84(1,D11)",Hypoxia Mix 1,259,204,239,702,,,,,,,,,,,
"85(1,E11)",Hypoxia Mix 1,279,197,242,718,,,,,,,,,,,
"86(1,F11)",Hypoxia Mix 1,228,175,217,620,,,,,,,,,,,
"87(1,G11)",Hypoxia Mix 2,259,202,227,688,,,,,,,,,,,
"88(1,H11)",Hypoxia Mix 2,200,206,244,650,,,,,,,,,,,
"89(1,A12)",Hypoxia Mix 2,300,277,299,876,,,,,,,,,,,
"90(1,B12)",Hypoxia Mix 3,211,174,191,576,,,,,,,,,,,
"91(1,C12)",Hypoxia Mix 3,202,148,166,516,,,,,,,,,,,
"92(1,D12)",Hypoxia Mix 3,287,246,247,780,,,,,,,,,,,
"93(1,E12)",Intereference DEP ,330,267,331,928,,,,,,,,,,,
"94(1,F12)",Intereference DEP ,321,319,357,997,,,,,,,,,,,
"95(1,G12)",Interference Ox66,392,367,405,1164,,,,,,,,,,,
"96(1,H12)",Interference Ox66,383,372,367,1122,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Result,,,,,,,,,,,,,,,
Location,Sample,IL-6,GRO/KC/CINC-1,TNFa,Total Events,,,,,,,,,,,
"1(1,A1)",Background0,NaN,NaN,NaN,1109,,,,,,,,,,,
"2(1,B1)",Background0,NaN,NaN,NaN,1099,,,,,,,,,,,
"3(1,C1)",Standard1,61.97318789,14.89190821,2.163645475,966,,,,,,,,,,,
"4(1,D1)",Standard1,217.1463048,117.1446016,2.883819418,1029,,,,,,,,,,,
"5(1,E1)",Standard2,311.6221434,149.3306641,9.507392281,1046,,,,,,,,,,,
"6(1,F1)",Standard2,311.6221434,< 14.6484375,10.33676848,1178,,,,,,,,,,,
"7(1,G1)",Standard3,1181.639769,283.018673,38.72427369,1186,,,,,,,,,,,
"8(1,H1)",Standard3,1297.007223,302.4172594,37.83423342,1256,,,,,,,,,,,
