"43(1,C6)","Normoxia Ox66 2","33","202","52","958"
"44(1,D6)","Normoxia Ox66 2","27","152","49","1157"
"45(1,E6)","Normoxia Ox66 3","33","272","58","867"
"46(1,F6)","Normoxia Ox66 3","29","175","49","972"
"47(1,G6)","Normoxia Ox66 3","30","208","54","769"
"48(1,H6)","Normoxia Mix 1","31","195","64","1119"
"49(1,A7)","Normoxia Mix 1","29","186","60","1144"
"50(1,B7)","Normoxia Mix 1","33","225","71","1131"
"51(1,C7)","Normoxia Mix 2","34","200","48","1068"
"52(1,D7)","Normoxia Mix 2","29","196.5","50","1248"
"53(1,E7)","Normoxia Mix 2","30","214","56","1229"
"54(1,F7)","Normoxia Mix 3","27","195","57","1188"
"55(1,G7)","Normoxia Mix 3","28","191","54","1094"
"56(1,H7)","Normoxia Mix 3","28","193.5","47","1151"
"57(1,A8)","Hypoxia Blank 1","30.5","150","37","1317"
"58(1,B8)","Hypoxia Blank 1","32","192.5","57","852"
"59(1,C8)","Hypoxia Blank 1","30","161","48","1050"
"60(1,D8)","Hypoxia Blank 2","32","162","39","844"
"61(1,E8)","Hypoxia Blank 2","32","229","51","807"
"62(1,F8)","Hypoxia Blank 2","31","184","45","704"
"63(1,G8)","Hypoxia Blank 3","38","243.5","160","581"
"64(1,H8)","Hypoxia Blank 3","33","247.5","60.5","701"
"65(1,A9)","Hypoxia Blank 3","31","157","45","1273"
"66(1,B9)","Hypoxia DEP 1","28","216.5","35","1030"
"67(1,C9)","Hypoxia DEP 1","30","187","62","1099"
"68(1,D9)","Hypoxia DEP 1","31","245","42","844"
"69(1,E9)","Hypoxia DEP 2","30","246","75","675"
"70(1,F9)","Hypoxia DEP 2","33","209","45","642"
"71(1,G9)","Hypoxia DEP 2","30","301","43","712"
"72(1,H9)","Hypoxia DEP 3","31.5","250.5","85","725"
"73(1,A10)","Hypoxia DEP 3","30","238.5","42","915"
"74(1,B10)","Hypoxia DEP 3","30","198","45","967"
"75(1,C10)","Hypoxia Ox66 1","29","191","57","1198"
"76(1,D10)","Hypoxia Ox66 1","28","179","53","1089"
"77(1,E10)","Hypoxia Ox66 1","28","162","64","1027"
"78(1,F10)","Hypoxia Ox66 2","25","142","68","971"
"79(1,G10)","Hypoxia Ox66 2","28","156","56","916"
"80(1,H10)","Hypoxia Ox66 2","27","136","60","1192"
"81(1,A11)","Hypoxia Ox66 3","28","160","87","1205"
"82(1,B11)","Hypoxia Ox66 3","29","181.5","56","1156"
"83(1,C11)","Hypoxia Ox66 3","30","177","48","1035"
"84(1,D11)","Hypoxia Mix 1","28","211.5","71","1174"
"85(1,E11)","Hypoxia Mix 1","29","206","56","1204"
"86(1,F11)","Hypoxia Mix 1","28","199","55","1170"
"87(1,G11)","Hypoxia Mix 2","30","224","53","981"
"88(1,H11)","Hypoxia Mix 2","27","169","43","1112"
"89(1,A12)","Hypoxia Mix 2","29","211","54","1118"
"90(1,B12)","Hypoxia Mix 3","34","246","57","1274"
"91(1,C12)","Hypoxia Mix 3","27","191","48","1131"
"92(1,D12)","Hypoxia Mix 3","27","146","53","1362"
"93(1,E12)","Intereference DEP ","33","185","41","1138"
"94(1,F12)","Intereference DEP ","30","170","31.5","1197"
"95(1,G12)","Interference Ox66","27","137","25","1330"
"96(1,H12)","Interference Ox66","25","134","22","1286"

"DataType:","Net MFI"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","-2.5","-24","-3.5","1228"
"2(1,B1)","Background0","2.5","24","3.5","1252"
"3(1,C1)","Standard1","4.5","7","59","1072"
"4(1,D1)","Standard1","6.5","17","75.5","1170"
"5(1,E1)","Standard2","10.5","47","174.5","1081"
"6(1,F1)","Standard2","8.5","-27","196.5","1154"
"7(1,G1)","Standard3","84.5","206","1175.5","882"
"8(1,H1)","Standard3","37.5","46","517.5","1088"
"9(1,A2)","Standard4","158.5","526","2633.5","1256"
"10(1,B2)","Standard4","126","362.5","2244.5","1058"
"11(1,C2)","Standard5","844.5","1794","6440","1016"
"12(1,D2)","Standard5","995.5","2240","7675.5","989"
"13(1,E2)","Standard6","4727.5","5421","13113.5","939"
"14(1,F2)","Standard6","3927.5","4202","10962.5","1009"
"15(1,G2)","Standard7","12404.5","7186","11168.5","1013"
"16(1,H2)","Standard7","12395.5","6784.5","9660","1057"
"17(1,A3)","Control1","165.5","432","2562.5","1211"
"18(1,B3)","Control1","178","408","2192.5","963"
"19(1,C3)","Control2","975","1883","7607.5","924"
"20(1,D3)","Control2","1184.5","2196","7512.5","988"
"21(1,E3)","Normoxia Blank 1","3.5","37","15.5","809"
"22(1,F3)","Normoxia Blank 1","3.5","41","10.5","862"
"23(1,G3)","Normoxia Blank 1","0","47","11.5","909"
"24(1,H3)","Normoxia Blank 2","2.5","17","7","812"
"25(1,A4)","Normoxia Blank 2","0.5","-20","7.5","960"
"26(1,B4)","Normoxia Blank 2","8.5","73","32.5","932"
"27(1,C4)","Normoxia Blank 3","5.5","29","2","831"
"28(1,D4)","Normoxia Blank 3","-1.5","30","175","677"
"29(1,E4)","Normoxia Blank 3","-1.5","18.5","18.5","807"
"30(1,F4)","Normoxia DEP 1","-0.5","76","9.5","863"
"31(1,G4)","Normoxia DEP 1","5.5","100","20.5","812"
"32(1,H4)","Normoxia DEP 1","-1.5","24","4.5","849"
"33(1,A5)","Normoxia DEP 2","-1.5","46.5","21.5","960"
"34(1,B5)","Normoxia DEP 2","-1.5","14","21","988"
"35(1,C5)","Normoxia DEP 2","6.5","70","21.5","887"
"36(1,D5)","Normoxia DEP 3","2.5","164","22.5","850"
"37(1,E5)","Normoxia DEP 3","2","114","91.5","655"
"38(1,F5)","Normoxia DEP 3","1","151","21.5","757"
"39(1,G5)","Normoxia Ox66 1","-4.5","-12","16.5","1144"
"40(1,H5)","Normoxia Ox66 1","-0.5","-17","16.5","974"
"41(1,A6)","Normoxia Ox66 1","-2.5","8","19.5","1256"
"42(1,B6)","Normoxia Ox66 2","-0.5","-40","108.5","1137"
"43(1,C6)","Normoxia Ox66 2","1.5","7","18.5","958"
"44(1,D6)","Normoxia Ox66 2","-4.5","-43","15.5","1157"
"45(1,E6)","Normoxia Ox66 3","1.5","77","24.5","867"
"46(1,F6)","Normoxia Ox66 3","-2.5","-20","15.5","972"
"47(1,G6)","Normoxia Ox66 3","-1.5","13","20.5","769"
"48(1,H6)","Normoxia Mix 1","-0.5","0","30.5","1119"
"49(1,A7)","Normoxia Mix 1","-2.5","-9","26.5","1144"
"50(1,B7)","Normoxia Mix 1","1.5","30","37.5","1131"
"51(1,C7)","Normoxia Mix 2","2.5","5","14.5","1068"
"52(1,D7)","Normoxia Mix 2","-2.5","1.5","16.5","1248"
"53(1,E7)","Normoxia Mix 2","-1.5","19","22.5","1229"
"54(1,F7)","Normoxia Mix 3","-4.5","0","23.5","1188"
"55(1,G7)","Normoxia Mix 3","-3.5","-4","20.5","1094"
"56(1,H7)","Normoxia Mix 3","-3.5","-1.5","13.5","1151"
"57(1,A8)","Hypoxia Blank 1","-1","-45","3.5","1317"
"58(1,B8)","Hypoxia Blank 1","0.5","-2.5","23.5","852"
"59(1,C8)","Hypoxia Blank 1","-1.5","-34","14.5","1050"
"60(1,D8)","Hypoxia Blank 2","0.5","-33","5.5","844"
"61(1,E8)","Hypoxia Blank 2","0.5","34","17.5","807"
"62(1,F8)","Hypoxia Blank 2","-0.5","-11","11.5","704"
"63(1,G8)","Hypoxia Blank 3","6.5","48.5","126.5","581"
"64(1,H8)","Hypoxia Blank 3","1.5","52.5","27","701"
"65(1,A9)","Hypoxia Blank 3","-0.5","-38","11.5","1273"
"66(1,B9)","Hypoxia DEP 1","-3.5","21.5","1.5","1030"
"67(1,C9)","Hypoxia DEP 1","-1.5","-8","28.5","1099"
"68(1,D9)","Hypoxia DEP 1","-0.5","50","8.5","844"
"69(1,E9)","Hypoxia DEP 2","-1.5","51","41.5","675"
"70(1,F9)","Hypoxia DEP 2","1.5","14","11.5","642"
"71(1,G9)","Hypoxia DEP 2","-1.5","106","9.5","712"
"72(1,H9)","Hypoxia DEP 3","0","55.5","51.5","725"
"73(1,A10)","Hypoxia DEP 3","-1.5","43.5","8.5","915"
"74(1,B10)","Hypoxia DEP 3","-1.5","3","11.5","967"
"75(1,C10)","Hypoxia Ox66 1","-2.5","-4","23.5","1198"
"76(1,D10)","Hypoxia Ox66 1","-3.5","-16","19.5","1089"
"77(1,E10)","Hypoxia Ox66 1","-3.5","-33","30.5","1027"
"78(1,F10)","Hypoxia Ox66 2","-6.5","-53","34.5","971"
"79(1,G10)","Hypoxia Ox66 2","-3.5","-39","22.5","916"
"80(1,H10)","Hypoxia Ox66 2","-4.5","-59","26.5","1192"
"81(1,A11)","Hypoxia Ox66 3","-3.5","-35","53.5","1205"
"82(1,B11)","Hypoxia Ox66 3","-2.5","-13.5","22.5","1156"
"83(1,C11)","Hypoxia Ox66 3","-1.5","-18","14.5","1035"
"84(1,D11)","Hypoxia Mix 1","-3.5","16.5","37.5","1174"
"85(1,E11)","Hypoxia Mix 1","-2.5","11","22.5","1204"
"86(1,F11)","Hypoxia Mix 1","-3.5","4","21.5","1170"
"87(1,G11)","Hypoxia Mix 2","-1.5","29","19.5","981"
"88(1,H11)","Hypoxia Mix 2","-4.5","-26","9.5","1112"
"89(1,A12)","Hypoxia Mix 2","-2.5","16","20.5","1118"
"90(1,B12)","Hypoxia Mix 3","2.5","51","23.5","1274"
"91(1,C12)","Hypoxia Mix 3","-4.5","-4","14.5","1131"
"92(1,D12)","Hypoxia Mix 3","-4.5","-49","19.5","1362"
"93(1,E12)","Intereference DEP ","1.5","-10","7.5","1138"
"94(1,F12)","Intereference DEP ","-1.5","-25","-2","1197"
"95(1,G12)","Interference Ox66","-4.5","-58","-8.5","1330"
"96(1,H12)","Interference Ox66","-6.5","-61","-11.5","1286"

"DataType:","Count"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","430","364","434","1228"
"2(1,B1)","Background0","468","366","418","1252"
"3(1,C1)","Standard1","374","310","388","1072"
"4(1,D1)","Standard1","394","363","413","1170"
"5(1,E1)","Standard2","388","301","392","1081"
"6(1,F1)","Standard2","413","318","423","1154"
"7(1,G1)","Standard3","323","251","308","882"
"8(1,H1)","Standard3","405","307","376","1088"
"9(1,A2)","Standard4","453","367","436","1256"
"10(1,B2)","Standard4","394","298","366","1058"
"11(1,C2)","Standard5","379","273","364","1016"
"12(1,D2)","Standard5","361","277","351","989"
"13(1,E2)","Standard6","331","240","368","939"
"14(1,F2)","Standard6","369","279","361","1009"
"15(1,G2)","Standard7","394","275","344","1013"
"16(1,H2)","Standard7","365","302","390","1057"
"17(1,A3)","Control1","422","353","436","1211"
"18(1,B3)","Control1","376","226","361","963"
"19(1,C3)","Control2","326","253","345","924"
"20(1,D3)","Control2","339","301","348","988"
"21(1,E3)","Normoxia Blank 1","274","254","281","809"
"22(1,F3)","Normoxia Blank 1","280","245","337","862"
"23(1,G3)","Normoxia Blank 1","314","277","318","909"
"24(1,H3)","Normoxia Blank 2","308","236","268","812"
"25(1,A4)","Normoxia Blank 2","329","280","351","960"
"26(1,B4)","Normoxia Blank 2","293","287","352","932"
"27(1,C4)","Normoxia Blank 3","305","252","274","831"
"28(1,D4)","Normoxia Blank 3","262","189","226","677"
"29(1,E4)","Normoxia Blank 3","325","222","260","807"
"30(1,F4)","Normoxia DEP 1","310","252","301","863"
"31(1,G4)","Normoxia DEP 1","294","242","276","812"
"32(1,H4)","Normoxia DEP 1","316","224","309","849"
"33(1,A5)","Normoxia DEP 2","341","278","341","960"
"34(1,B5)","Normoxia DEP 2","364","298","326","988"
"35(1,C5)","Normoxia DEP 2","334","284","269","887"
"36(1,D5)","Normoxia DEP 3","309","260","281","850"
"37(1,E5)","Normoxia DEP 3","252","192","211","655"
"38(1,F5)","Normoxia DEP 3","260","239","258","757"
"39(1,G5)","Normoxia Ox66 1","388","358","398","1144"
"40(1,H5)","Normoxia Ox66 1","366","291","317","974"
"41(1,A6)","Normoxia Ox66 1","430","374","452","1256"
"42(1,B6)","Normoxia Ox66 2","410","341","386","1137"
"43(1,C6)","Normoxia Ox66 2","351","287","320","958"
"44(1,D6)","Normoxia Ox66 2","399","363","395","1157"
"45(1,E6)","Normoxia Ox66 3","341","235","291","867"
"46(1,F6)","Normoxia Ox66 3","352","276","344","972"
"47(1,G6)","Normoxia Ox66 3","297","215","257","769"
"48(1,H6)","Normoxia Mix 1","428","329","362","1119"
"49(1,A7)","Normoxia Mix 1","374","331","439","1144"
"50(1,B7)","Normoxia Mix 1","377","361","393","1131"
"51(1,C7)","Normoxia Mix 2","361","307","400","1068"
"52(1,D7)","Normoxia Mix 2","413","380","455","1248"
"53(1,E7)","Normoxia Mix 2","407","378","444","1229"
"54(1,F7)","Normoxia Mix 3","391","349","448","1188"
"55(1,G7)","Normoxia Mix 3","404","329","361","1094"
"56(1,H7)","Normoxia Mix 3","404","348","399","1151"
"57(1,A8)","Hypoxia Blank 1","470","393","454","1317"
"58(1,B8)","Hypoxia Blank 1","324","228","300","852"
"59(1,C8)","Hypoxia Blank 1","385","281","384","1050"
"60(1,D8)","Hypoxia Blank 2","290","277","277","844"
"61(1,E8)","Hypoxia Blank 2","297","245","265","807"
"62(1,F8)","Hypoxia Blank 2","243","203","258","704"
"63(1,G8)","Hypoxia Blank 3","247","154","180","581"
"64(1,H8)","Hypoxia Blank 3","259","202","240","701"
"65(1,A9)","Hypoxia Blank 3","439","363","471","1273"
"66(1,B9)","Hypoxia DEP 1","398","294","338","1030"
"67(1,C9)","Hypoxia DEP 1","394","336","369","1099"
"68(1,D9)","Hypoxia DEP 1","310","240","294","844"
"69(1,E9)","Hypoxia DEP 2","279","189","207","675"
"70(1,F9)","Hypoxia DEP 2","251","180","211","642"
"71(1,G9)","Hypoxia DEP 2","273","208","231","712"
"72(1,H9)","Hypoxia DEP 3","266","202","257","725"
"73(1,A10)","Hypoxia DEP 3","338","246","331","915"
"74(1,B10)","Hypoxia DEP 3","382","264","321","967"
"75(1,C10)","Hypoxia Ox66 1","433","336","429","1198"
"76(1,D10)","Hypoxia Ox66 1","377","311","401","1089"
"77(1,E10)","Hypoxia Ox66 1","347","311","369","1027"
"78(1,F10)","Hypoxia Ox66 2","329","301","341","971"
"79(1,G10)","Hypoxia Ox66 2","328","246","342","916"
"80(1,H10)","Hypoxia Ox66 2","443","350","399","1192"
"81(1,A11)","Hypoxia Ox66 3","429","361","415","1205"
"82(1,B11)","Hypoxia Ox66 3","408","348","400","1156"
"83(1,C11)","Hypoxia Ox66 3","376","320","339","1035"
"84(1,D11)","Hypoxia Mix 1","434","316","424","1174"
"85(1,E11)","Hypoxia Mix 1","435","353","416","1204"
"86(1,F11)","Hypoxia Mix 1","390","339","441","1170"
"87(1,G11)","Hypoxia Mix 2","326","295","360","981"
"88(1,H11)","Hypoxia Mix 2","402","353","357","1112"
"89(1,A12)","Hypoxia Mix 2","407","325","386","1118"
"90(1,B12)","Hypoxia Mix 3","424","375","475","1274"
"91(1,C12)","Hypoxia Mix 3","384","331","416","1131"
"92(1,D12)","Hypoxia Mix 3","494","400","468","1362"
"93(1,E12)","Intereference DEP ","423","299","416","1138"
"94(1,F12)","Intereference DEP ","424","333","440","1197"
"95(1,G12)","Interference Ox66","460","416","454","1330"
"96(1,H12)","Interference Ox66","447","387","452","1286"

"DataType:","Result"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","NaN","NaN","NaN","1228"
"2(1,B1)","Background0","NaN","NaN","NaN","1252"
"3(1,C1)","Standard1","39.4945224175005","< 14.6484375","2.06902642543577","1072"
"4(1,D1)","Standard1","145.391485517459","131.680518945495","3.05895876508835","1170"
"5(1,E1)","Standard2","322.097429650291","232.505725628636","9.17542712915773","1081"
"6(1,F1)","Standard2","236.960814215429","< 14.6484375","10.5601513232284","1154"
"7(1,G1)","Standard3","2659.86948880331","539.392134746275","75.3870869967133","882"
"8(1,H1)","Standard3","1273.44488830396","229.863685702206","31.2853623294743","1088"
"9(1,A2)","Standard4","4600.73914215249","1048.63226928748","178.636082476569","1256"
"10(1,B2)","Standard4","3772.37276541264","790.648578348788","150.282256707878","1058"
"11(1,C2)","Standard5","19109.1683052028","3522.28287753975","523.187911077259","1016"
"12(1,D2)","Standard5","21957.0248707678","4718.52131590801","697.778700113815","989"
"13(1,E2)","Standard6","82094.0858178469","24707.4622221182","> 10000","939"
"14(1,F2)","Standard6","70017.462808893","13665.9976788485","6755.53712696546","1009"
"15(1,G2)","Standard7","300775.220876647","58527.0886181043","> 10000","1013"
"16(1,H2)","Standard7","299258.473892714","47897.0322628695","1265.51862986254","1057"
"17(1,A3)","Control1","4775.33230185481","900.016332512162","173.410169559155","1211"
"18(1,B3)","Control1","5084.1566590635","862.250291201335","146.541316640348","963"
"19(1,C3)","Control2","21574.6777412209","3744.12765276166","686.418826737018","924"
"20(1,D3)","Control2","25426.5853348273","4590.65330042314","670.975510303771","988"
"21(1,E3)","Normoxia Blank 1","< 73.2421875","204.72666348558","< 2.44140625","809"
"22(1,F3)","Normoxia Blank 1","< 73.2421875","216.229499515119","< 2.44140625","862"
"23(1,G3)","Normoxia Blank 1","< 73.2421875","232.505725628636","< 2.44140625","909"
"24(1,H3)","Normoxia Blank 2","< 73.2421875","131.680518945495","< 2.44140625","812"
"25(1,A4)","Normoxia Blank 2","< 73.2421875","< 14.6484375","< 2.44140625","960"
"26(1,B4)","Normoxia Blank 2","236.960814215429","294.439738965054","0.520555417777933","932"
"27(1,C4)","Normoxia Blank 3","95.436993565069","179.556130543486","< 2.44140625","831"
"28(1,D4)","Normoxia Blank 3","< 73.2421875","182.899079947718","9.20681968083344","677"
"29(1,E4)","Normoxia Blank 3","< 73.2421875","138.825052924441","< 2.44140625","807"
"30(1,F4)","Normoxia DEP 1","< 73.2421875","300.978178788332","< 2.44140625","863"
"31(1,G4)","Normoxia DEP 1","95.436993565069","350.455904790086","< 2.44140625","812"
"32(1,H4)","Normoxia DEP 1","< 73.2421875","161.688326959547","< 2.44140625","849"
"33(1,A5)","Normoxia DEP 2","< 73.2421875","231.187961791783","< 2.44140625","960"
"34(1,B5)","Normoxia DEP 2","< 73.2421875","115.467180412844","< 2.44140625","988"
"35(1,C5)","Normoxia DEP 2","145.391485517459","287.802382029187","< 2.44140625","887"
"36(1,D5)","Normoxia DEP 3","< 73.2421875","468.051211466123","< 2.44140625","850"
"37(1,E5)","Normoxia DEP 3","< 73.2421875","377.570877546421","4.03006191373767","655"
"38(1,F5)","Normoxia DEP 3","< 73.2421875","445.255344741268","< 2.44140625","757"
"39(1,G5)","Normoxia Ox66 1","< 73.2421875","< 14.6484375","< 2.44140625","1144"
"40(1,H5)","Normoxia Ox66 1","< 73.2421875","< 14.6484375","< 2.44140625","974"
"41(1,A6)","Normoxia Ox66 1","< 73.2421875","58.2351692311896","< 2.44140625","1256"
"42(1,B6)","Normoxia Ox66 2","< 73.2421875","< 14.6484375","5.0710569793081","1137"
"43(1,C6)","Normoxia Ox66 2","< 73.2421875","< 14.6484375","< 2.44140625","958"
"44(1,D6)","Normoxia Ox66 2","< 73.2421875","< 14.6484375","< 2.44140625","1157"
"45(1,E6)","Normoxia Ox66 3","< 73.2421875","303.136955643019","0.0774350772540491","867"
"46(1,F6)","Normoxia Ox66 3","< 73.2421875","< 14.6484375","< 2.44140625","972"
"47(1,G6)","Normoxia Ox66 3","< 73.2421875","109.239436487711","< 2.44140625","769"
"48(1,H6)","Normoxia Mix 1","< 73.2421875","< 14.6484375","0.407584017852407","1119"
"49(1,A7)","Normoxia Mix 1","< 73.2421875","< 14.6484375","0.185370769149138","1144"
"50(1,B7)","Normoxia Mix 1","< 73.2421875","182.899079947718","0.806520093005478","1131"
"51(1,C7)","Normoxia Mix 2","< 73.2421875","< 14.6484375","< 2.44140625","1068"
"52(1,D7)","Normoxia Mix 2","< 73.2421875","< 14.6484375","< 2.44140625","1248"
"53(1,E7)","Normoxia Mix 2","< 73.2421875","141.100140282802","< 2.44140625","1229"
"54(1,F7)","Normoxia Mix 3","< 73.2421875","< 14.6484375","0.02526321950359","1188"
"55(1,G7)","Normoxia Mix 3","< 73.2421875","< 14.6484375","< 2.44140625","1094"
"56(1,H7)","Normoxia Mix 3","< 73.2421875","< 14.6484375","< 2.44140625","1151"
"57(1,A8)","Hypoxia Blank 1","< 73.2421875","< 14.6484375","< 2.44140625","1317"
"58(1,B8)","Hypoxia Blank 1","< 73.2421875","< 14.6484375","0.02526321950359","852"
"59(1,C8)","Hypoxia Blank 1","< 73.2421875","< 14.6484375","< 2.44140625","1050"
"60(1,D8)","Hypoxia Blank 2","< 73.2421875","< 14.6484375","< 2.44140625","844"
"61(1,E8)","Hypoxia Blank 2","< 73.2421875","195.673645245293","< 2.44140625","807"
"62(1,F8)","Hypoxia Blank 2","< 73.2421875","< 14.6484375","< 2.44140625","704"
"63(1,G8)","Hypoxia Blank 3","145.391485517459","236.421270763256","6.18162163496693","581"
"64(1,H8)","Hypoxia Blank 3","< 73.2421875","246.607001180831","0.212782858137047","701"
"65(1,A9)","Hypoxia Blank 3","< 73.2421875","< 14.6484375","< 2.44140625","1273"
"66(1,B9)","Hypoxia DEP 1","< 73.2421875","151.827565077666","< 2.44140625","1030"
"67(1,C9)","Hypoxia DEP 1","< 73.2421875","< 14.6484375","0.29572220637593","1099"
"68(1,D9)","Hypoxia DEP 1","< 73.2421875","240.282809188068","< 2.44140625","844"
"69(1,E9)","Hypoxia DEP 2","< 73.2421875","242.828709473902","1.03801425818092","675"
"70(1,F9)","Hypoxia DEP 2","< 73.2421875","115.467180412844","< 2.44140625","642"
"71(1,G9)","Hypoxia DEP 2","< 73.2421875","362.204927207832","< 2.44140625","712"
"72(1,H9)","Hypoxia DEP 3","< 73.2421875","254.027082454671","1.62418619141348","725"
"73(1,A10)","Hypoxia DEP 3","< 73.2421875","223.139567684342","< 2.44140625","915"
"74(1,B10)","Hypoxia DEP 3","< 73.2421875","< 14.6484375","< 2.44140625","967"
"75(1,C10)","Hypoxia Ox66 1","< 73.2421875","< 14.6484375","0.02526321950359","1198"
"76(1,D10)","Hypoxia Ox66 1","< 73.2421875","< 14.6484375","< 2.44140625","1089"
"77(1,E10)","Hypoxia Ox66 1","< 73.2421875","< 14.6484375","0.407584017852407","1027"
"78(1,F10)","Hypoxia Ox66 2","< 73.2421875","< 14.6484375","0.634406918503396","971"
"79(1,G10)","Hypoxia Ox66 2","< 73.2421875","< 14.6484375","< 2.44140625","916"
"80(1,H10)","Hypoxia Ox66 2","< 73.2421875","< 14.6484375","0.185370769149138","1192"
"81(1,A11)","Hypoxia Ox66 3","< 73.2421875","< 14.6484375","1.74243220061632","1205"
"82(1,B11)","Hypoxia Ox66 3","< 73.2421875","< 14.6484375","< 2.44140625","1156"
