"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","10/16/2019","9:50 PM"

"SN","MAGPX17165724"
"Batch","Human CYK SVG"
"Version","1"
"Operator",""
"ComputerName","ENV18022701X"
"Country Code","409"
"ProtocolName","Human Cytokine Chemokine AD"
"ProtocolVersion","5"
"ProtocolDescription",""
"ProtocolDevelopingCompany","Miliilpore"
"SampleWash","Off"
"SampleVolume","100 uL"
"BatchStartTime","10/16/2019 9:52:19 PM"
"BatchStopTime","10/16/2019 11:02:33 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","3"
"ProtocolAnalysis","Type","Quan","Mode","FitOfAllStandards"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 10/15/2019 15:47:30"
"Last VER Verification","Passed 10/15/2019 15:48:32"
"Last Fluidics Test","Passed 10/15/2019 15:49:52"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B62703","11/17/2019","10/15/2019 3:47:30 PM","26.4","26.4","26.4","26.4","252","284","353","353","0.00702","0.00697","0.00407","0.11954","Pass","MAGPX17165724"


"AssayLotInfo:"
"KitName","LotNumber","ExpirationDate","Manufacturer"
"Human CYK and CHK","8062-13K","02/01/2021","Millipore"
"Reagent","LotName","LotNumber","ExpirationDate","Manufacturer"
"Standard1","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard2","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard3","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard4","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard5","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard6","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Control1","CYK and CHK","HCY-113","02/01/2021","Millipore"
"Control2","CYK and CHK","HCY-213","02/01/2021","Millipore"


"Samples","35","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"43(1,C6)","Normoxia Ox66 2","1480.5","13465","19","1413"
"44(1,D6)","Normoxia Ox66 2","1609","14693.5","19","1222"
"45(1,E6)","Normoxia Ox66 3","1732","15457","22.5","1259"
"46(1,F6)","Normoxia Ox66 3","1814","16348","21","1362"
"47(1,G6)","Normoxia Ox66 3","1559","15818","21","1579"
"48(1,H6)","Normoxia Mix 1","1400.5","15395","23","1347"
"49(1,A7)","Normoxia Mix 1","1309","14668","21","1367"
"50(1,B7)","Normoxia Mix 1","1376.5","15415","23","1204"
"51(1,C7)","Normoxia Mix 2","1060","13107","22","1363"
"52(1,D7)","Normoxia Mix 2","1140.5","12968.5","20","1010"
"53(1,E7)","Normoxia Mix 2","1111","12980","20","1331"
"54(1,F7)","Normoxia Mix 3","1295","14553","23","1115"
"55(1,G7)","Normoxia Mix 3","1358","15254","21","1243"
"56(1,H7)","Normoxia Mix 3","1316.5","14712","22","1543"
"57(1,A8)","Hypoxia Control 1","988","10073","20","1333"
"58(1,B8)","Hypoxia Control 1","976","9587","17","1484"
"59(1,C8)","Hypoxia Control 1","943","9128","17","1266"
"60(1,D8)","Hypoxia Control 2","969","9188","17","1238"
"61(1,E8)","Hypoxia Control 2","1020","9399","20","1195"
"62(1,F8)","Hypoxia Control 2","1086.5","9738","18","1238"
"63(1,G8)","Hypoxia Control 3","980","9535","19","1459"
"64(1,H8)","Hypoxia Control 3","933","8954.5","20","1479"
"65(1,A9)","Hypoxia Control 3","981","9389","20","1383"
"66(1,B9)","Hypoxia DEP 1","819","9476","21","1337"
"67(1,C9)","Hypoxia DEP 1","774","8866","20","1437"
"68(1,D9)","Hypoxia DEP 1","718","8526.5","21","1414"
"69(1,E9)","Hypoxia DEP 2","868","9777","20","1356"
"70(1,F9)","Hypoxia DEP 2","849","9262","22","1364"
"71(1,G9)","Hypoxia DEP 2","788.5","9366.5","21","1574"
"72(1,H9)","Hypoxia DEP 3","683","8953","18","1350"
"73(1,A10)","Hypoxia DEP 3","680","8771","19","1615"
"74(1,B10)","Hypoxia DEP 3","733","8807","20","1405"
"75(1,C10)","Hypoxia Ox66 1","926.5","11400","20","1321"
"76(1,D10)","Hypoxia Ox66 1","1036.5","11641","18","1030"
"77(1,E10)","Hypoxia Ox66 1","1035","11888","20","1417"
"78(1,F10)","Hypoxia Ox66 2","946.5","11792","19","1319"
"79(1,G10)","Hypoxia Ox66 2","1030","12107","20.5","1421"
"80(1,H10)","Hypoxia Ox66 2","959","11493","21","1338"
"81(1,A11)","Hypoxia Ox66 3","835.5","10301","19","1561"
"82(1,B11)","Hypoxia Ox66 3","889","10560","20","1414"
"83(1,C11)","Hypoxia Ox66 3","819","10227","19","1375"
"84(1,D11)","Hypoxia Mix 1","1076","11647","23","1325"
"85(1,E11)","Hypoxia Mix 1","921","11111","20","1197"
"86(1,F11)","Hypoxia Mix 1","963","11628","21","1245"
"87(1,G11)","Hypoxia Mix 2","674","10076.5","23","1431"
"88(1,H11)","Hypoxia Mix 2","648.5","9551","21","1641"
"89(1,A12)","Hypoxia Mix 2","723","10111","20","1509"
"90(1,B12)","Hypoxia Mix 3","578","8780","21","1320"
"91(1,C12)","Hypoxia Mix 3","524","8360.5","18","1314"
"92(1,D12)","Hypoxia Mix 3","565","8578","23","1537"
"93(1,E12)","DEP Interference ","15","27.5","17","1439"
"94(1,F12)","DEP Interference ","14","17","17","1408"
"95(1,G12)","Ox66 Interference","14","16","16","1390"
"96(1,H12)","Ox66 Interference","15","18","17","1647"

"DataType:","Net MFI"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","0","0.5","0.5","1570"
"2(1,B1)","Background0","0","-0.5","-0.5","1573"
"3(1,C1)","Standard 1","0","61.5","2.5","1577"
"4(1,D1)","Standard 1","-0.5","53.5","2.5","1416"
"5(1,E1)","Standard2","2","258.5","8.5","1614"
"6(1,F1)","Standard2","2","297","10.5","1377"
"7(1,G1)","Standard3","59.5","1407.5","161.5","1592"
"8(1,H1)","Standard3","55","1438.5","149.5","1727"
"9(1,A2)","Standard4","5408.5","9386.5","3334.5","1479"
"10(1,B2)","Standard4","5028","9398.5","3250.5","1489"
"11(1,C2)","Standard5","28317","27653.5","15358.5","1235"
"12(1,D2)","Standard5","29289","26850","15599.5","1147"
"13(1,E2)","Standard6","48960","35881.5","39025.5","1209"
"14(1,F2)","Standard6","48397","35258.5","37644","1211"
"17(1,A3)","Control1","2717","2753.5","1352.5","1503"
"18(1,B3)","Control1","2801","2872","1324.5","1276"
"19(1,C3)","Control2","13842","11642","6813.5","1390"
"20(1,D3)","Control2","14586","11851.5","6611.5","1435"
"21(1,E3)","Normoxia Control 1","1520","12750.5","7.5","1471"
"22(1,F3)","Normoxia Control 1","1569.5","13189.5","1.5","1214"
"23(1,G3)","Normoxia Control 1","1734","13408.5","5.5","1464"
"24(1,H3)","Normoxia Control 2","1489","12662.5","4.5","1541"
"25(1,A4)","Normoxia Control 2","1615","12826.5","5.5","1486"
"26(1,B4)","Normoxia Control 2","1623","12679.5","4.5","1364"
"27(1,C4)","Normoxia Control 3","1222","12004.5","3.5","1276"
"28(1,D4)","Normoxia Control 3","1249","11524.5","2.5","1119"
"29(1,E4)","Normoxia Control 3","1314","11803","6","1489"
"30(1,F4)","Normoxia DEP 1","1226","12180.5","4.5","1129"
"31(1,G4)","Normoxia DEP 1","1241","12501.5","6.5","1390"
"32(1,H4)","Normoxia DEP 1","1173","12234.5","4.5","1264"
"33(1,A5)","Normoxia DEP 2","1232","12409.5","5.5","1336"
"34(1,B5)","Normoxia DEP 2","1145","11796.5","3.5","1407"
"35(1,C5)","Normoxia DEP 2","1256","12358.5","3.5","1473"
"36(1,D5)","Normoxia DEP 3","1194.5","12738.5","5.5","1223"
"37(1,E5)","Normoxia DEP 3","1234","12861","5.5","1465"
"38(1,F5)","Normoxia DEP 3","1258","12752.5","7.5","1207"
"39(1,G5)","Normoxia Ox66 1","1605","15628.5","4.5","1355"
"40(1,H5)","Normoxia Ox66 1","1727.5","15940.5","3.5","1298"
"41(1,A6)","Normoxia Ox66 1","1584","15701.5","4.5","1575"
"42(1,B6)","Normoxia Ox66 2","1560","14665","4.5","1407"
"43(1,C6)","Normoxia Ox66 2","1465.5","13449.5","2.5","1413"
"44(1,D6)","Normoxia Ox66 2","1594","14678","2.5","1222"
"45(1,E6)","Normoxia Ox66 3","1717","15441.5","6","1259"
"46(1,F6)","Normoxia Ox66 3","1799","16332.5","4.5","1362"
"47(1,G6)","Normoxia Ox66 3","1544","15802.5","4.5","1579"
"48(1,H6)","Normoxia Mix 1","1385.5","15379.5","6.5","1347"
"49(1,A7)","Normoxia Mix 1","1294","14652.5","4.5","1367"
"50(1,B7)","Normoxia Mix 1","1361.5","15399.5","6.5","1204"
"51(1,C7)","Normoxia Mix 2","1045","13091.5","5.5","1363"
"52(1,D7)","Normoxia Mix 2","1125.5","12953","3.5","1010"
"53(1,E7)","Normoxia Mix 2","1096","12964.5","3.5","1331"
"54(1,F7)","Normoxia Mix 3","1280","14537.5","6.5","1115"
"55(1,G7)","Normoxia Mix 3","1343","15238.5","4.5","1243"
"56(1,H7)","Normoxia Mix 3","1301.5","14696.5","5.5","1543"
"57(1,A8)","Hypoxia Control 1","973","10057.5","3.5","1333"
"58(1,B8)","Hypoxia Control 1","961","9571.5","0.5","1484"
"59(1,C8)","Hypoxia Control 1","928","9112.5","0.5","1266"
"60(1,D8)","Hypoxia Control 2","954","9172.5","0.5","1238"
"61(1,E8)","Hypoxia Control 2","1005","9383.5","3.5","1195"
"62(1,F8)","Hypoxia Control 2","1071.5","9722.5","1.5","1238"
"63(1,G8)","Hypoxia Control 3","965","9519.5","2.5","1459"
"64(1,H8)","Hypoxia Control 3","918","8939","3.5","1479"
"65(1,A9)","Hypoxia Control 3","966","9373.5","3.5","1383"
"66(1,B9)","Hypoxia DEP 1","804","9460.5","4.5","1337"
"67(1,C9)","Hypoxia DEP 1","759","8850.5","3.5","1437"
"68(1,D9)","Hypoxia DEP 1","703","8511","4.5","1414"
"69(1,E9)","Hypoxia DEP 2","853","9761.5","3.5","1356"
"70(1,F9)","Hypoxia DEP 2","834","9246.5","5.5","1364"
"71(1,G9)","Hypoxia DEP 2","773.5","9351","4.5","1574"
"72(1,H9)","Hypoxia DEP 3","668","8937.5","1.5","1350"
"73(1,A10)","Hypoxia DEP 3","665","8755.5","2.5","1615"
"74(1,B10)","Hypoxia DEP 3","718","8791.5","3.5","1405"
"75(1,C10)","Hypoxia Ox66 1","911.5","11384.5","3.5","1321"
"76(1,D10)","Hypoxia Ox66 1","1021.5","11625.5","1.5","1030"
"77(1,E10)","Hypoxia Ox66 1","1020","11872.5","3.5","1417"
"78(1,F10)","Hypoxia Ox66 2","931.5","11776.5","2.5","1319"
"79(1,G10)","Hypoxia Ox66 2","1015","12091.5","4","1421"
"80(1,H10)","Hypoxia Ox66 2","944","11477.5","4.5","1338"
"81(1,A11)","Hypoxia Ox66 3","820.5","10285.5","2.5","1561"
"82(1,B11)","Hypoxia Ox66 3","874","10544.5","3.5","1414"
"83(1,C11)","Hypoxia Ox66 3","804","10211.5","2.5","1375"
"84(1,D11)","Hypoxia Mix 1","1061","11631.5","6.5","1325"
"85(1,E11)","Hypoxia Mix 1","906","11095.5","3.5","1197"
"86(1,F11)","Hypoxia Mix 1","948","11612.5","4.5","1245"
"87(1,G11)","Hypoxia Mix 2","659","10061","6.5","1431"
"88(1,H11)","Hypoxia Mix 2","633.5","9535.5","4.5","1641"
"89(1,A12)","Hypoxia Mix 2","708","10095.5","3.5","1509"
"90(1,B12)","Hypoxia Mix 3","563","8764.5","4.5","1320"
"91(1,C12)","Hypoxia Mix 3","509","8345","1.5","1314"
"92(1,D12)","Hypoxia Mix 3","550","8562.5","6.5","1537"
"93(1,E12)","DEP Interference ","0","12","0.5","1439"
"94(1,F12)","DEP Interference ","-1","1.5","0.5","1408"
"95(1,G12)","Ox66 Interference","-1","0.5","-0.5","1390"
"96(1,H12)","Ox66 Interference","0","2.5","0.5","1647"

"DataType:","Count"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","413","520","637","1570"
"2(1,B1)","Background0","454","485","634","1573"
"3(1,C1)","Standard 1","440","511","626","1577"
"4(1,D1)","Standard 1","394","487","535","1416"
"5(1,E1)","Standard2","468","474","672","1614"
"6(1,F1)","Standard2","377","434","566","1377"
"7(1,G1)","Standard3","418","572","602","1592"
"8(1,H1)","Standard3","520","560","647","1727"
"9(1,A2)","Standard4","440","481","558","1479"
"10(1,B2)","Standard4","437","447","605","1489"
"11(1,C2)","Standard5","347","395","493","1235"
"12(1,D2)","Standard5","307","374","466","1147"
"13(1,E2)","Standard6","345","383","481","1209"
"14(1,F2)","Standard6","364","347","500","1211"
"17(1,A3)","Control1","424","479","600","1503"
"18(1,B3)","Control1","333","412","531","1276"
"19(1,C3)","Control2","409","452","529","1390"
"20(1,D3)","Control2","377","461","597","1435"
"21(1,E3)","Normoxia Control 1","431","476","564","1471"
"22(1,F3)","Normoxia Control 1","340","381","493","1214"
"23(1,G3)","Normoxia Control 1","385","498","581","1464"
"24(1,H3)","Normoxia Control 2","432","509","600","1541"
"25(1,A4)","Normoxia Control 2","419","491","576","1486"
"26(1,B4)","Normoxia Control 2","373","445","546","1364"
"27(1,C4)","Normoxia Control 3","341","437","498","1276"
"28(1,D4)","Normoxia Control 3","332","345","442","1119"
"29(1,E4)","Normoxia Control 3","421","454","614","1489"
"30(1,F4)","Normoxia DEP 1","331","369","429","1129"
"31(1,G4)","Normoxia DEP 1","369","455","566","1390"
"32(1,H4)","Normoxia DEP 1","345","420","499","1264"
"33(1,A5)","Normoxia DEP 2","359","464","513","1336"
"34(1,B5)","Normoxia DEP 2","395","488","524","1407"
"35(1,C5)","Normoxia DEP 2","389","521","563","1473"
"36(1,D5)","Normoxia DEP 3","332","397","494","1223"
"37(1,E5)","Normoxia DEP 3","423","502","540","1465"
"38(1,F5)","Normoxia DEP 3","340","398","469","1207"
"39(1,G5)","Normoxia Ox66 1","381","465","509","1355"
"40(1,H5)","Normoxia Ox66 1","378","427","493","1298"
"41(1,A6)","Normoxia Ox66 1","458","479","638","1575"
"42(1,B6)","Normoxia Ox66 2","380","460","567","1407"
"43(1,C6)","Normoxia Ox66 2","430","465","518","1413"
"44(1,D6)","Normoxia Ox66 2","358","406","458","1222"
"45(1,E6)","Normoxia Ox66 3","348","423","488","1259"
"46(1,F6)","Normoxia Ox66 3","397","493","472","1362"
"47(1,G6)","Normoxia Ox66 3","434","493","652","1579"
"48(1,H6)","Normoxia Mix 1","384","444","519","1347"
"49(1,A7)","Normoxia Mix 1","373","439","555","1367"
"50(1,B7)","Normoxia Mix 1","320","392","492","1204"
"51(1,C7)","Normoxia Mix 2","371","487","505","1363"
"52(1,D7)","Normoxia Mix 2","274","340","396","1010"
"53(1,E7)","Normoxia Mix 2","391","471","469","1331"
"54(1,F7)","Normoxia Mix 3","316","379","420","1115"
"55(1,G7)","Normoxia Mix 3","342","413","488","1243"
"56(1,H7)","Normoxia Mix 3","414","493","636","1543"
"57(1,A8)","Hypoxia Control 1","387","423","523","1333"
"58(1,B8)","Hypoxia Control 1","419","491","574","1484"
"59(1,C8)","Hypoxia Control 1","370","411","485","1266"
"60(1,D8)","Hypoxia Control 2","355","389","494","1238"
"61(1,E8)","Hypoxia Control 2","308","409","478","1195"
"62(1,F8)","Hypoxia Control 2","354","419","465","1238"
"63(1,G8)","Hypoxia Control 3","412","457","590","1459"
"64(1,H8)","Hypoxia Control 3","393","528","558","1479"
"65(1,A9)","Hypoxia Control 3","403","437","543","1383"
"66(1,B9)","Hypoxia DEP 1","383","437","517","1337"
"67(1,C9)","Hypoxia DEP 1","395","489","553","1437"
"68(1,D9)","Hypoxia DEP 1","383","460","571","1414"
"69(1,E9)","Hypoxia DEP 2","386","457","513","1356"
"70(1,F9)","Hypoxia DEP 2","393","443","528","1364"
"71(1,G9)","Hypoxia DEP 2","438","514","622","1574"
"72(1,H9)","Hypoxia DEP 3","411","442","497","1350"
"73(1,A10)","Hypoxia DEP 3","489","537","589","1615"
"74(1,B10)","Hypoxia DEP 3","394","487","524","1405"
"75(1,C10)","Hypoxia Ox66 1","370","420","531","1321"
"76(1,D10)","Hypoxia Ox66 1","290","345","395","1030"
"77(1,E10)","Hypoxia Ox66 1","404","485","528","1417"
"78(1,F10)","Hypoxia Ox66 2","384","433","502","1319"
"79(1,G10)","Hypoxia Ox66 2","414","465","542","1421"
"80(1,H10)","Hypoxia Ox66 2","361","424","553","1338"
"81(1,A11)","Hypoxia Ox66 3","434","521","606","1561"
"82(1,B11)","Hypoxia Ox66 3","381","463","570","1414"
"83(1,C11)","Hypoxia Ox66 3","404","452","519","1375"
"84(1,D11)","Hypoxia Mix 1","358","444","523","1325"
"85(1,E11)","Hypoxia Mix 1","337","402","458","1197"
"86(1,F11)","Hypoxia Mix 1","369","381","495","1245"
"87(1,G11)","Hypoxia Mix 2","423","460","548","1431"
"88(1,H11)","Hypoxia Mix 2","454","521","666","1641"
"89(1,A12)","Hypoxia Mix 2","452","496","561","1509"
"90(1,B12)","Hypoxia Mix 3","379","445","496","1320"
"91(1,C12)","Hypoxia Mix 3","342","458","514","1314"
"92(1,D12)","Hypoxia Mix 3","425","505","607","1537"
"93(1,E12)","DEP Interference ","394","442","603","1439"
"94(1,F12)","DEP Interference ","374","449","585","1408"
"95(1,G12)","Ox66 Interference","395","425","570","1390"
"96(1,H12)","Ox66 Interference","408","572","667","1647"

"DataType:","Result"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","NaN","NaN","NaN","1570"
"2(1,B1)","Background0","NaN","NaN","NaN","1573"
"3(1,C1)","Standard 1","7.87566688937195","3.49637718365645","2.97521161811748","1577"
"4(1,D1)","Standard 1","< 3.2","2.91800944191022","2.97521161811748","1416"
"5(1,E1)","Standard2","17.2261026945987","15.8290342750426","15.6363860647853","1614"
"6(1,F1)","Standard2","17.2261026945987","18.0389916356336","17.8902113312046","1377"
"7(1,G1)","Standard3","72.5083553957949","74.1938771835799","77.8229693663891","1592"
"8(1,H1)","Standard3","70.0138853317182","75.6552922483562","74.7366370045932","1727"
"9(1,A2)","Standard4","579.017208892867","425.883090962282","455.642728006236","1479"
"10(1,B2)","Standard4","557.899759494616","426.430641054695","447.608419500004","1489"
"11(1,C2)","Standard5","1778.0309743178","1923.6665869259","1763.37552066148","1235"
"12(1,D2)","Standard5","1850.80133121539","1782.56863600765","1797.3651568603","1147"
"13(1,E2)","Standard6","> 10000","> 10000","13056.5275389605","1209"
"14(1,F2)","Standard6","> 10000","13860.5176528344","11106.406021122","1211"
"17(1,A3)","Control1","412.364834909562","135.418789968756","253.867521279524","1503"
"18(1,B3)","Control1","418.424496254101","140.658015477244","250.666348366285","1276"
"19(1,C3)","Control2","984.1575393905","532.042832690923","785.100943282263","1390"
"20(1,D3)","Control2","1018.49191363306","542.286237209181","765.61541103159","1435"
"21(1,E3)","Normoxia Control 1","313.666499408351","587.127497298748","14.3687756454415","1471"
"22(1,F3)","Normoxia Control 1","318.376722450771","609.589376407886","< 3.2","1214"
"23(1,G3)","Normoxia Control 1","333.523704411572","620.944556058196","11.3840117635753","1464"
"24(1,H3)","Normoxia Control 2","310.677696939614","582.671336159392","9.51468666718666","1541"
"25(1,A4)","Normoxia Control 2","322.641704998672","590.988255956454","11.3840117635753","1486"
"26(1,B4)","Normoxia Control 2","323.38541431559","583.531007417495","9.51468666718666","1364"
"27(1,C4)","Normoxia Control 3","283.518995242699","549.814449125646","7.118486284789","1276"
"28(1,D4)","Normoxia Control 3","286.393533509154","526.329700165968","2.97521161811748","1119"
"29(1,E4)","Normoxia Control 3","293.187070920583","539.908257215463","12.204116137267","1489"
"30(1,F4)","Normoxia DEP 1","283.946874766216","558.525204925044","9.51468666718666","1129"
"31(1,G4)","Normoxia DEP 1","285.54513766632","574.55736401681","12.968811111326","1390"
"32(1,H4)","Normoxia DEP 1","278.21846415033","561.208950212643","9.51468666718666","1264"
"33(1,A5)","Normoxia DEP 2","284.587365690426","569.942936076484","11.3840117635753","1336"
"34(1,B5)","Normoxia DEP 2","275.138797776634","539.589863294396","7.118486284789","1407"
"35(1,C5)","Normoxia DEP 2","287.133620152182","567.391764250633","7.118486284789","1473"
"36(1,D5)","Normoxia DEP 3","280.557828630638","586.518946174494","11.3840117635753","1223"
"37(1,E5)","Normoxia DEP 3","284.800510268766","592.744623460916","11.3840117635753","1465"
"38(1,F5)","Normoxia DEP 3","287.344688887318","587.228950021051","14.3687756454415","1207"
"39(1,G5)","Normoxia Ox66 1","321.709501100398","742.558501037477","9.51468666718666","1355"
"40(1,H5)","Normoxia Ox66 1","332.938981622517","760.736054524876","7.118486284789","1298"
"41(1,A6)","Normoxia Ox66 1","319.742466135917","746.784848860344","9.51468666718666","1575"
"42(1,B6)","Normoxia Ox66 2","317.478527989818","688.215036803278","9.51468666718666","1407"
"43(1,C6)","Normoxia Ox66 2","308.391244797849","623.081884937028","2.97521161811748","1413"
"44(1,D6)","Normoxia Ox66 2","320.680750141683","688.931332947872","2.97521161811748","1222"
"45(1,E6)","Normoxia Ox66 3","331.992144307671","731.804803136255","12.204116137267","1259"
"46(1,F6)","Normoxia Ox66 3","339.312918420696","784.010763915612","9.51468666718666","1362"
"47(1,G6)","Normoxia Ox66 3","315.959616906747","752.659007352841","9.51468666718666","1579"
"48(1,H6)","Normoxia Mix 1","300.466668604049","728.262129349721","12.968811111326","1347"
"49(1,A7)","Normoxia Mix 1","291.115243400867","687.526706775349","9.51468666718666","1367"
"50(1,B7)","Normoxia Mix 1","298.044739697177","729.403704728062","12.968811111326","1204"
"51(1,C7)","Normoxia Mix 2","263.812536187111","604.540911151428","11.3840117635753","1363"
"52(1,D7)","Normoxia Mix 2","272.971233783966","597.439947172876","7.118486284789","1010"
"53(1,E7)","Normoxia Mix 2","269.655220072181","598.028065177851","7.118486284789","1331"
"54(1,F7)","Normoxia Mix 3","289.655309881213","681.21308828079","12.968811111326","1115"
"55(1,G7)","Normoxia Mix 3","296.16312854246","720.246738790666","9.51468666718666","1243"
"56(1,H7)","Normoxia Mix 3","291.894063425934","689.951440124257","11.3840117635753","1543"
"57(1,A8)","Hypoxia Control 1","255.3080735961","456.755758601678","7.118486284789","1333"
"58(1,B8)","Hypoxia Control 1","253.859424765571","434.342375964587","< 3.2","1484"
"59(1,C8)","Hypoxia Control 1","249.826630554466","413.423107943078","< 3.2","1266"
